dish_id,name,ingredients,category,tags
D01,Nasi Lemak,"rice,coconut milk,pandan,sambal,egg,anchovies,peanuts,cucumber",main,"spicy,malay,signature"
D02,Rendang Daging,"beef,coconut milk,kerisik,lemongrass,galangal,chili,garlic,ginger",main,"spicy,malay,beef"
D03,Ayam Masak Merah,"chicken,tomato,chili,onion,garlic,ginger,spices",main,"spicy,chicken,malay"
D04,Laksa,"noodles,fish,tamarind,laksa leaves,chili,onion,cucumber",main,"spicy,noodle,fish"
D05,Ketupat,"rice,coconut leaf",side,"rice,traditional,malay"
D06,Kuih Seri Muka,"glutinous rice,coconut milk,pandan,sugar,egg",dessert,"sweet,kuih,traditional"
D07,Sambal Sotong,"squid,chili,onion,tamarind,garlic,sambal",main,"spicy,seafood,malay"
D08,Sayur Lodeh,"cabbage,carrot,long beans,coconut milk,turmeric,tofu",main,"vegetarian,coconut,malay"
D09,Chicken Satay,"chicken,peanut sauce,lemongrass,turmeric,shallot,garlic",main,"grilled,spicy,signature"
D10,Beef Satay,"beef,peanut sauce,lemongrass,turmeric,shallot,garlic",main,"grilled,beef,malay"
D11,Roti Canai,"flour,ghee,egg,water,dhal curry",side,"mamak,contains gluten,breakfast"
D12,Mee Goreng Mamak,"yellow noodles,egg,tofu,potato,chili,soy sauce,vegetables",main,"spicy,mamak,noodle"
D13,Nasi Kandar,"rice,chicken curry,fish curry,okra,eggplant,papadom",main,"spicy,mamak,rice"
D14,Char Kway Teow,"flat rice noodles,prawn,egg,bean sprouts,chives,soy sauce,chili",main,"spicy,chinese,noodle"
D15,Hokkien Mee,"yellow noodles,prawn,pork or chicken,cabbage,soy sauce,garlic",main,"noodle,chinese,savoury"
D16,Wantan Mee,"egg noodles,wantan,chicken or char siu,soy sauce,vegetables",main,"noodle,chinese"
D17,Curry Laksa,"noodles,coconut milk,curry paste,tofu puff,fish cake,bean sprouts,chicken",main,"spicy,curry,noodle"
D18,Asam Laksa,"rice noodles,mackerel,tamarind,onion,cucumber,pineapple,chili,mint",main,"spicy,sour,fish"
D19,Nasi Kerabu,"blue rice,herbs,fish crackers,salted egg,spicy sauce,coconut",main,"rice,malay,traditional"
D20,Nasi Dagang,"rice,coconut milk,fish curry,pickled vegetables,chili",main,"rice,fish,traditional"
D21,Nasi Tomato,"tomato rice,chicken,spices,onion,garlic,ginger",main,"rice,malay,chicken"
D22,Nasi Goreng Kampung,"rice,anchovies,egg,kangkung,chili,garlic,soy sauce",main,"spicy,rice,local"
D23,Nasi Goreng Pattaya,"rice,egg,chicken,vegetables,soy sauce,chili sauce",main,"rice,egg,local"
D24,Maggi Goreng,"instant noodles,egg,tofu,vegetables,chili,soy sauce",main,"spicy,mamak,noodle"
D25,Murtabak Ayam,"flour,chicken,egg,onion,spices,curry",main,"mamak,chicken,contains gluten"
D26,Murtabak Daging,"flour,beef,egg,onion,spices,curry",main,"mamak,beef,contains gluten"
D27,Popiah Basah,"spring roll skin,turnip,carrot,bean sprouts,egg,sweet sauce,chili",side,"snack,vegetables"
D28,Rojak Buah,"pineapple,cucumber,jicama,mango,peanut,shrimp paste,chili",appetizer,"spicy,fruit,local"
D29,Gado-Gado,"tofu,tempeh,egg,bean sprouts,cucumber,potato,peanut sauce",appetizer,"vegetarian,peanut"
D30,Pisang Goreng,"banana,flour,sugar,oil",dessert,"sweet,fried,snack"
