order_id,session_user_id,ordered_dishes,timestamp
O001,U01,"D01,D09,D30","2025-12-10 08:15"
O002,U02,"D11,D25","2025-12-10 08:30"
O003,U03,"D01,D03","2025-12-10 09:05"
O004,U04,"D14,D27,D30","2025-12-10 12:10"
O005,U05,"D02,D05,D08","2025-12-10 12:25"
O006,U06,"D04,D06","2025-12-10 12:40"
O007,U07,"D13,D07,D30","2025-12-10 13:00"
O008,U08,"D17,D29","2025-12-10 13:20"
O009,U09,"D22,D27","2025-12-10 13:45"
O010,U10,"D20,D05,D06","2025-12-10 14:05"

O011,U01,"D01,D02,D05","2025-12-11 08:20"
O012,U11,"D11,D24","2025-12-11 08:45"
O013,U12,"D18,D28","2025-12-11 11:50"
O014,U13,"D15,D16","2025-12-11 12:15"
O015,U14,"D21,D03,D30","2025-12-11 12:35"
O016,U15,"D09,D10,D28","2025-12-11 12:55"
O017,U16,"D19,D08,D30","2025-12-11 13:10"
O018,U17,"D12,D24,D30","2025-12-11 13:30"
O019,U18,"D23,D27","2025-12-11 13:50"
O020,U19,"D04,D17","2025-12-11 14:15"

O021,U20,"D01,D07","2025-12-12 08:10"
O022,U02,"D11,D26","2025-12-12 08:35"
O023,U03,"D02,D05,D06","2025-12-12 12:05"
O024,U04,"D14,D28","2025-12-12 12:25"
O025,U05,"D13,D08","2025-12-12 12:45"
O026,U06,"D17,D06","2025-12-12 13:05"
O027,U07,"D22,D30","2025-12-12 13:20"
O028,U08,"D19,D29","2025-12-12 13:40"
O029,U09,"D01,D09","2025-12-12 14:00"
O030,U10,"D20,D06","2025-12-12 14:25"

O031,U11,"D11,D25,D30","2025-12-13 08:15"
O032,U12,"D01,D10","2025-12-13 08:40"
O033,U13,"D03,D05,D08","2025-12-13 12:00"
O034,U14,"D04,D18,D28","2025-12-13 12:20"
O035,U15,"D14,D15","2025-12-13 12:40"
O036,U16,"D12,D25","2025-12-13 13:00"
O037,U17,"D13,D07,D28","2025-12-13 13:25"
O038,U18,"D21,D30","2025-12-13 13:45"
O039,U19,"D17,D29,D06","2025-12-13 14:05"
O040,U20,"D22,D23,D27","2025-12-13 14:30"

O041,U01,"D01,D03,D30","2025-12-14 08:05"
O042,U02,"D11,D24,D26","2025-12-14 08:25"
O043,U03,"D02,D08","2025-12-14 11:55"
O044,U04,"D20,D05","2025-12-14 12:15"
O045,U05,"D09,D28,D30","2025-12-14 12:35"
O046,U06,"D14,D27","2025-12-14 12:55"
O047,U07,"D15,D16,D30","2025-12-14 13:15"
O048,U08,"D18,D06","2025-12-14 13:35"
O049,U09,"D19,D08","2025-12-14 13:55"
O050,U10,"D23,D30","2025-12-14 14:20"

O051,U11,"D01,D09,D10","2025-12-15 08:10"
O052,U12,"D11,D25,D26","2025-12-15 08:35"
O053,U13,"D13,D07,D08","2025-12-15 12:05"
O054,U14,"D04,D17,D06","2025-12-15 12:30"
O055,U15,"D02,D05,D30","2025-12-15 12:50"
O056,U16,"D14,D27,D28","2025-12-15 13:10"
O057,U17,"D21,D03,D05","2025-12-15 13:35"
O058,U18,"D22,D27,D30","2025-12-15 13:55"
O059,U19,"D18,D29","2025-12-15 14:15"
O060,U20,"D20,D05,D06","2025-12-15 14:40"

O061,U21,"D28,D14,D06","2026-07-25 11:48"
